TransactionAmount,CustomerAge,TransactionDuration,AccountBalance,Cluster,TransactionType,Channel
14.09,70.0,81.0,5112.21,2,Debit,ATM
376.24,68.0,141.0,13758.91,2,Debit,ATM
126.29,19.0,56.0,1122.35,5,Debit,Online
184.5,26.0,25.000000000000004,8569.06,5,Debit,Online
13.45,26.0,198.0,7429.4,4,Credit,Online
92.15,18.0,172.0,781.68,2,Debit,ATM
7.08,37.0,139.0,13316.71,4,Credit,ATM
171.42,67.0,291.0,2796.24,3,Credit,Branch
106.23,51.0,86.0,9095.14,3,Credit,Branch
815.96,55.0,120.0,1021.8800000000001,2,Debit,ATM
17.78,52.0,59.00000000000001,7599.5199999999995,4,Credit,Online
190.02,21.0,173.0,1528.81,5,Debit,Online
494.52,24.0,111.0,1620.02,3,Credit,Branch
781.76,26.0,123.0,189.69,2,Debit,ATM
166.99,18.0,134.0,299.93,5,Debit,Online
465.45,36.0,129.0,3465.54,2,Debit,ATM
555.8,19.0,158.0,1131.26,3,Credit,Branch
492.93,39.0,234.0,5109.97,5,Debit,Online
18.68,59.0,106.0,7948.369999999999,3,Credit,Branch
71.48,18.0,169.0,6568.59,4,Credit,Online
59.32,71.0,37.99999999999999,5750.89,0,Debit,Branch
85.77,38.0,93.0,9146.19,0,Debit,Branch
52.2,39.0,120.0,8974.93,1,Debit,Online
345.84,22.0,142.0,1402.5,5,Debit,Online
145.54,21.0,96.0,1930.96,5,Debit,Online
7.49,65.0,276.0,3634.67,4,Credit,Online
246.93,23.0,158.0,673.3499999999999,2,Debit,ATM
40.32,37.0,95.0,2686.52,0,Debit,Branch
127.45,44.0,197.0,1772.06,5,Debit,Online
56.17,27.0,283.0,1351.69,0,Debit,Branch
28.31,59.0,20.0,8334.47,4,Credit,Online
59.12,29.0,257.0,9823.64,2,Debit,ATM
396.45,49.0,168.00000000000003,9690.15,2,Debit,ATM
877.81,22.0,150.0,399.0,5,Debit,Online
255.26,45.0,50.00000000000001,14815.87,3,Credit,Branch
124.76,49.0,45.0,5764.72,0,Debit,Branch
78.13,26.0,145.0,900.61,0,Debit,Branch
649.28,75.0,137.0,4875.86,2,Debit,ATM
795.31,66.0,90.0,7914.879999999999,2,Debit,ATM
335.63,55.0,215.99999999999997,1019.39,1,Debit,Online
328.47,63.0,119.0,4323.66,2,Debit,ATM
34.02,38.0,18.999999999999996,14214.48,1,Debit,Online
241.42000000000002,57.0,116.00000000000001,13357.02,4,Credit,Online
55.32,19.0,117.0,241.79000000000002,2,Debit,ATM
304.31,27.0,33.0,868.61,0,Debit,Branch
435.27,74.0,90.0,4673.28,0,Debit,Branch
164.49,26.0,75.0,1509.27,0,Debit,Branch
510.23999999999995,19.0,105.0,781.7,5,Debit,Online
626.9,26.0,138.0,265.51,5,Debit,Online
22.01,41.0,175.0,1335.09,4,Credit,Online
425.34,69.0,121.0,3907.5399999999995,4,Credit,Online
424.56,51.0,264.0,5183.85,1,Debit,Online
85.43,67.0,145.0,14904.9,0,Debit,Branch
169.5,28.0,142.0,918.8799999999999,0,Debit,Branch
104.63,62.0,90.0,4477.78,2,Debit,ATM
316.95,25.0,83.0,1324.03,0,Debit,Branch
60.540000000000006,57.0,52.00000000000001,3534.93,3,Credit,Branch
292.56,68.0,61.00000000000001,4638.37,3,Credit,Branch
386.52,48.0,28.0,5630.61,0,Debit,Branch
112.07,23.0,51.00000000000001,930.3,0,Debit,Branch
568.52,46.0,151.99999999999997,5499.91,2,Debit,ATM
263.99,79.0,227.0,4175.02,0,Debit,Branch
349.64,48.0,226.0,6651.62,1,Debit,Online
601.4,56.0,104.0,8458.29,3,Credit,Branch
5.77,50.0,123.99999999999999,13988.12,1,Debit,Online
201.33,42.0,186.0,2585.07,3,Credit,Branch
298.42,56.0,225.0,3014.75,0,Debit,Branch
521.06,25.0,128.0,1951.42,0,Debit,Branch
117.28,60.0,16.0,3665.77,4,Credit,Online
189.12,32.0,103.0,977.01,3,Credit,Branch
133.55,44.0,220.0,3846.2800000000007,2,Debit,ATM
143.21,35.0,135.0,6374.82,1,Debit,Online
24.77,62.0,55.0,5866.01,2,Debit,ATM
233.92,26.0,280.0,6537.62,4,Credit,Online
1212.51,20.0,24.0,605.9499999999999,0,Debit,Branch
232.12,37.0,51.00000000000001,6689.87,2,Debit,ATM
162.63,22.0,113.0,634.17,5,Debit,Online
91.53,44.0,69.00000000000001,14676.05,0,Debit,Branch
120.29,19.0,77.0,1362.39,0,Debit,Branch
174.25,50.0,67.0,10528.34,1,Debit,Online
183.71,38.0,102.0,552.52,2,Debit,ATM
345.39,58.0,80.0,6451.96,4,Credit,Online
922.55,63.0,87.0,4715.84,2,Debit,ATM
259.91,49.0,170.0,7176.86,1,Debit,Online
